dataset,MSE,model
1,0.09773409840389369,rf
1,0.08191361517924213,lm
1,0.15053179657864088,lasso
2,0.019822085618431597,rf
2,0.016165139194202354,lm
2,0.034859234653039084,lasso
3,0.1446016071407616,rf
3,0.21942260490186888,lm
3,0.4028687329520718,lasso
4,0.01853176337613036,rf
4,0.4875613271974304,lm
4,0.8056270183418669,lasso
5,0.10301816980122472,rf
5,0.15544723368727498,lm
5,0.1681107524853939,lasso
