dataset,R2,model
1,0.8322846779365841,rf
1,0.7452897365815508,lm
1,0.5323417059096036,lasso
2,0.8773058061444857,rf
2,0.8970377651514384,lm
2,0.7779675966987903,lasso
3,0.6667426117004311,rf
3,0.7140512320706174,lm
3,0.47451493049513493,lasso
4,0.9778100814341294,rf
4,0.39729455637166544,lm
4,0.004113406041146073,lasso
5,0.7936998760474089,rf
5,0.6894513060236235,lm
5,0.664152436879302,lasso
